hop 1: 0.481413, hop 2: 0.395574, hop 3: 0.123013 
hop 1: 0.481626, hop 2: 0.395344, hop 3: 0.123031 
hop 1: 0.481578, hop 2: 0.395310, hop 3: 0.123112 
hop 1: 0.481586, hop 2: 0.395321, hop 3: 0.123093 
hop 1: 0.481460, hop 2: 0.395401, hop 3: 0.123139 
hop 1: 0.481234, hop 2: 0.395534, hop 3: 0.123232 
hop 1: 0.481206, hop 2: 0.395483, hop 3: 0.123311 
hop 1: 0.481305, hop 2: 0.395516, hop 3: 0.123178 
hop 1: 0.481213, hop 2: 0.395537, hop 3: 0.123250 
hop 1: 0.481256, hop 2: 0.395550, hop 3: 0.123194 
hop 1: 0.481224, hop 2: 0.395584, hop 3: 0.123191 
hop 1: 0.481176, hop 2: 0.395585, hop 3: 0.123239 
hop 1: 0.481201, hop 2: 0.395596, hop 3: 0.123202 
hop 1: 0.481209, hop 2: 0.395632, hop 3: 0.123159 
hop 1: 0.481165, hop 2: 0.395653, hop 3: 0.123183 
hop 1: 0.481186, hop 2: 0.395648, hop 3: 0.123166 
hop 1: 0.481202, hop 2: 0.395608, hop 3: 0.123190 
hop 1: 0.481195, hop 2: 0.395611, hop 3: 0.123194 
hop 1: 0.481199, hop 2: 0.395605, hop 3: 0.123196 
hop 1: 0.481215, hop 2: 0.395597, hop 3: 0.123188 
hop 1: 0.481211, hop 2: 0.395604, hop 3: 0.123185 
hop 1: 0.481158, hop 2: 0.395613, hop 3: 0.123229 
hop 1: 0.481169, hop 2: 0.395596, hop 3: 0.123235 
hop 1: 0.481175, hop 2: 0.395587, hop 3: 0.123238 
hop 1: 0.481170, hop 2: 0.395572, hop 3: 0.123258 
hop 1: 0.481136, hop 2: 0.395620, hop 3: 0.123244 
hop 1: 0.481145, hop 2: 0.395619, hop 3: 0.123236 
hop 1: 0.481133, hop 2: 0.395634, hop 3: 0.123233 
hop 1: 0.481136, hop 2: 0.395663, hop 3: 0.123200 
hop 1: 0.481135, hop 2: 0.395666, hop 3: 0.123199 
hop 1: 0.481165, hop 2: 0.395651, hop 3: 0.123184 
hop 1: 0.481152, hop 2: 0.395665, hop 3: 0.123183 
hop 1: 0.481170, hop 2: 0.395655, hop 3: 0.123175 
hop 1: 0.481121, hop 2: 0.395673, hop 3: 0.123205 
hop 1: 0.481122, hop 2: 0.395677, hop 3: 0.123201 
hop 1: 0.481104, hop 2: 0.395675, hop 3: 0.123221 
